,Age,YrsOfExp,Level,AISelect,AIComplex,AIAcc,AISent
9746,18-24,3.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Indifferent
9747,18-24,2.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9748,35-44,20.0,Principal,Daily,Very poor,Somewhat distrust,Favorable
9749,45-54,18.0,Principal,Weekly,"Good, but not great",Highly distrust,Favorable
9750,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9751,25-34,5.0,Mid-Level Developer,Weekly,Bad,Neither trust nor distrust,Favorable
9752,25-34,8.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9753,35-44,11.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat distrust,Indifferent
9754,25-34,6.0,Mid-Level Developer,Daily,Very well,Somewhat trust,Favorable
9755,45-54,20.0,Principal,Weekly,Bad,Somewhat distrust,Indifferent
9756,25-34,1.0,Junior Developer,Weekly,Bad,Somewhat distrust,Favorable
9757,25-34,6.0,Mid-Level Developer,Weekly,I don't use AI for complex tasks,Somewhat distrust,Favorable
9758,35-44,10.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Indifferent
9759,35-44,15.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
9760,25-34,5.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
9761,25-34,4.0,Mid-Level Developer,Weekly,Very poor,Somewhat distrust,Unfavorable
9762,25-34,7.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
9763,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Highly trust,Very favorable
9764,45-54,25.0,Distinguished Engineer/Fellow,Monthly,Bad,Highly distrust,Indifferent
9765,25-34,2.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9766,45-54,32.0,Veteran/Executive,Daily,Bad,Somewhat distrust,Favorable
9767,45-54,35.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat trust,Favorable
9768,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
9769,55-64,26.0,Distinguished Engineer/Fellow,I plan to use AI soon,Bad,Somewhat distrust,Unfavorable
9770,25-34,1.0,Junior Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat trust,Favorable
9771,25-34,7.0,Senior Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9772,25-34,10.0,Senior Developer,Daily,Very poor,Highly distrust,Favorable
9773,25-34,3.0,Junior Developer,Daily,Very well,Somewhat trust,Very favorable
9774,45-54,25.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat trust,Favorable
9775,45-54,26.0,Distinguished Engineer/Fellow,I plan to use AI soon,I don't use AI for complex tasks,Somewhat trust,Very favorable
9776,35-44,21.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat trust,Very favorable
9777,18-24,1.0,Junior Developer,Weekly,Bad,Somewhat trust,Indifferent
9778,45-54,33.0,Veteran/Executive,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
9779,45-54,14.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9780,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Indifferent
9781,45-54,25.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Indifferent
9782,35-44,15.0,Staff/Lead Developer,Weekly,Neither good or bad,Neither trust nor distrust,Indifferent
9783,18-24,4.0,Mid-Level Developer,I don't plan to use AI,Very poor,Somewhat distrust,Indifferent
9784,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9785,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Highly trust,Very favorable
9786,25-34,6.0,Mid-Level Developer,Daily,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
9787,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
9788,25-34,7.0,Senior Developer,Monthly,Bad,Highly distrust,Indifferent
9789,18-24,2.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9790,35-44,10.0,Senior Developer,Weekly,Very poor,Somewhat distrust,Unfavorable
9791,35-44,21.0,Distinguished Engineer/Fellow,Weekly,Very poor,Neither trust nor distrust,Indifferent
9792,45-54,13.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Somewhat trust,Very favorable
9793,25-34,5.0,Mid-Level Developer,Weekly,Bad,Somewhat distrust,Very unfavorable
9794,25-34,10.0,Senior Developer,Monthly,Bad,Somewhat distrust,Indifferent
9795,25-34,4.0,Mid-Level Developer,Monthly,"Good, but not great",Somewhat trust,Favorable
9796,25-34,5.0,Mid-Level Developer,Weekly,Bad,Somewhat trust,Favorable
9797,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9798,25-34,8.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9799,25-34,6.0,Mid-Level Developer,Weekly,Very poor,Highly distrust,Favorable
9800,18-24,2.0,Junior Developer,Monthly,Very poor,Somewhat distrust,Unfavorable
9801,45-54,24.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Highly trust,Very favorable
9802,55-64,32.0,Veteran/Executive,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Favorable
9803,25-34,5.0,Mid-Level Developer,Weekly,I don't use AI for complex tasks,Somewhat distrust,Indifferent
9804,35-44,10.0,Senior Developer,Daily,"Good, but not great",Highly trust,Very favorable
9805,25-34,10.0,Senior Developer,Daily,Very poor,Neither trust nor distrust,Favorable
9806,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9807,25-34,11.0,Staff/Lead Developer,Weekly,Bad,Neither trust nor distrust,Favorable
9808,35-44,26.0,Distinguished Engineer/Fellow,Daily,Bad,Highly trust,Very favorable
9809,45-54,18.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
9810,18-24,2.0,Junior Developer,Weekly,Bad,Somewhat distrust,Favorable
9811,35-44,6.0,Mid-Level Developer,Daily,Bad,Highly distrust,Very favorable
9812,45-54,22.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Very favorable
9813,25-34,10.0,Senior Developer,Monthly,I don't use AI for complex tasks,Highly distrust,Unfavorable
9814,45-54,28.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9815,25-34,5.0,Mid-Level Developer,Daily,Bad,Somewhat trust,Very favorable
9816,18-24,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9817,25-34,1.0,Junior Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9818,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9819,25-34,2.0,Junior Developer,Monthly,Very poor,Somewhat distrust,Very unfavorable
9820,45-54,29.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Somewhat distrust,Indifferent
9821,25-34,12.0,Staff/Lead Developer,Daily,Very poor,Neither trust nor distrust,Favorable
9822,45-54,15.0,Staff/Lead Developer,Monthly,"Good, but not great",Somewhat distrust,Indifferent
9823,35-44,18.0,Principal,Weekly,Very poor,Somewhat distrust,Indifferent
9824,25-34,8.0,Senior Developer,Monthly,Bad,Somewhat distrust,Favorable
9825,45-54,21.0,Distinguished Engineer/Fellow,Daily,Very poor,Neither trust nor distrust,Favorable
9826,35-44,21.0,Distinguished Engineer/Fellow,Monthly,Bad,Highly distrust,Unfavorable
9827,35-44,12.0,Staff/Lead Developer,Weekly,Very poor,Somewhat distrust,Favorable
9828,>=65,40.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
9829,45-54,23.0,Distinguished Engineer/Fellow,Weekly,Bad,Neither trust nor distrust,Favorable
9830,18-24,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9831,35-44,19.0,Principal,Daily,Very poor,Somewhat trust,Indifferent
9832,18-24,2.0,Junior Developer,Daily,Bad,Somewhat distrust,Favorable
9833,35-44,22.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat distrust,Favorable
9834,35-44,26.0,Distinguished Engineer/Fellow,Weekly,Very poor,Somewhat distrust,Unfavorable
9835,25-34,6.0,Mid-Level Developer,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
9836,25-34,5.0,Mid-Level Developer,Monthly,Bad,Highly distrust,Favorable
9837,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat distrust,Very favorable
9838,35-44,22.0,Distinguished Engineer/Fellow,Daily,Very well,Somewhat trust,Very favorable
9839,25-34,10.0,Senior Developer,I don't plan to use AI,Bad,Somewhat distrust,Unfavorable
9840,25-34,3.0,Junior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
9841,45-54,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9842,35-44,14.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat distrust,Favorable
9843,35-44,8.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9844,35-44,20.0,Principal,Daily,Bad,Neither trust nor distrust,Very favorable
9845,35-44,17.0,Principal,Daily,Very poor,Highly distrust,Indifferent
9846,25-34,14.0,Staff/Lead Developer,Daily,Bad,Highly distrust,Favorable
9847,45-54,29.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Somewhat distrust,Indifferent
9848,45-54,17.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Indifferent
9849,18-24,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9850,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9851,25-34,8.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Favorable
9852,25-34,4.0,Mid-Level Developer,I plan to use AI soon,Bad,Somewhat distrust,Indifferent
9853,45-54,20.0,Principal,Daily,Bad,Highly distrust,Very favorable
9854,25-34,1.0,Junior Developer,Daily,Very poor,Highly distrust,Unfavorable
9855,35-44,17.0,Principal,Daily,Bad,Somewhat distrust,Favorable
9856,18-24,1.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
9857,55-64,35.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
9858,25-34,3.0,Junior Developer,Monthly,Bad,Highly distrust,Indifferent
9859,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9860,25-34,12.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Very unfavorable
9861,45-54,27.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat distrust,Favorable
9862,18-24,3.0,Junior Developer,Daily,Bad,Neither trust nor distrust,Favorable
9863,45-54,25.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Somewhat trust,Favorable
9864,35-44,6.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
9865,25-34,6.0,Mid-Level Developer,I plan to use AI soon,"Good, but not great",Somewhat distrust,Favorable
9866,25-34,9.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
9867,35-44,17.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
9868,25-34,2.0,Junior Developer,I don't plan to use AI,Bad,Highly distrust,Very unfavorable
9869,45-54,20.0,Principal,I don't plan to use AI,Very poor,Highly distrust,Indifferent
9870,35-44,9.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9871,45-54,22.0,Distinguished Engineer/Fellow,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
9872,25-34,4.0,Mid-Level Developer,Weekly,Bad,Highly distrust,Indifferent
9873,35-44,23.0,Distinguished Engineer/Fellow,Daily,Very well,Neither trust nor distrust,Very favorable
9874,25-34,7.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Favorable
9875,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
9876,25-34,8.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9877,25-34,6.0,Mid-Level Developer,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9878,35-44,7.0,Senior Developer,Daily,Very poor,Somewhat distrust,Unfavorable
9879,35-44,21.0,Distinguished Engineer/Fellow,Weekly,Bad,Neither trust nor distrust,Favorable
9880,45-54,32.0,Veteran/Executive,Weekly,Bad,Somewhat trust,Favorable
9881,18-24,1.0,Junior Developer,Daily,Bad,Neither trust nor distrust,Favorable
9882,35-44,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9883,45-54,13.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Very unfavorable
9884,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9885,35-44,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
9886,25-34,6.0,Mid-Level Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
9887,25-34,3.0,Junior Developer,Daily,Very well,Somewhat trust,Very favorable
9888,25-34,9.0,Senior Developer,Daily,Bad,Somewhat trust,Favorable
9889,25-34,8.0,Senior Developer,Daily,"Good, but not great",Highly distrust,Favorable
9890,35-44,13.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
9891,18-24,1.0,Junior Developer,I don't plan to use AI,Very poor,Somewhat distrust,Unfavorable
9892,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
9893,35-44,14.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
9894,25-34,5.0,Mid-Level Developer,Weekly,Very poor,Highly distrust,Unfavorable
9895,25-34,7.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Favorable
9896,45-54,10.0,Senior Developer,Daily,"Good, but not great",Somewhat distrust,Very favorable
9897,55-64,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
9898,25-34,7.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat trust,Indifferent
9899,35-44,16.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
9900,35-44,13.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
9901,45-54,22.0,Distinguished Engineer/Fellow,I plan to use AI soon,I don't use AI for complex tasks,Highly distrust,Unfavorable
9902,25-34,6.0,Mid-Level Developer,Weekly,Bad,Somewhat distrust,Favorable
9903,25-34,4.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Indifferent
9904,25-34,2.0,Junior Developer,Weekly,Neither good or bad,Somewhat trust,Favorable
9905,35-44,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
9906,35-44,20.0,Principal,Weekly,Bad,Somewhat distrust,Favorable
9907,25-34,8.0,Senior Developer,Monthly,Neither good or bad,Somewhat trust,Favorable
9908,45-54,17.0,Principal,Monthly,Bad,Highly distrust,Unfavorable
9909,25-34,7.0,Senior Developer,Daily,I don't use AI for complex tasks,Highly distrust,Favorable
9910,35-44,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
9911,35-44,15.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
9912,35-44,9.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Favorable
9913,35-44,13.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
9914,35-44,16.0,Principal,Monthly,Neither good or bad,Neither trust nor distrust,Indifferent
9915,25-34,3.0,Junior Developer,Daily,Bad,Somewhat trust,Favorable
9916,18-24,3.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
9917,55-64,30.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat distrust,Favorable
9918,45-54,27.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9919,55-64,40.0,Veteran/Executive,Daily,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9920,25-34,5.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat distrust,Unfavorable
9921,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Highly trust,Favorable
9922,35-44,8.0,Senior Developer,Monthly,Very poor,Highly distrust,Very unfavorable
9923,18-24,5.0,Mid-Level Developer,Daily,Bad,Somewhat trust,Very favorable
9924,25-34,8.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
9925,35-44,18.0,Principal,Daily,Very poor,Highly distrust,Favorable
9926,25-34,7.0,Senior Developer,Daily,"Good, but not great",Highly trust,Favorable
9927,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
9928,35-44,10.0,Senior Developer,Daily,Neither good or bad,Somewhat distrust,Favorable
9929,18-24,3.0,Junior Developer,Weekly,Very poor,Somewhat distrust,Very favorable
9930,25-34,13.0,Staff/Lead Developer,Monthly,Neither good or bad,Somewhat distrust,Favorable
9931,35-44,19.0,Principal,I don't plan to use AI,Neither good or bad,Somewhat distrust,Indifferent
9932,45-54,29.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
9933,45-54,18.0,Principal,Monthly,Neither good or bad,Somewhat distrust,Unfavorable
9934,45-54,25.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat distrust,Unfavorable
9935,18-24,1.0,Junior Developer,I don't plan to use AI,"Good, but not great",Somewhat trust,Very unfavorable
9936,55-64,33.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
9937,35-44,19.0,Principal,Weekly,Very poor,Neither trust nor distrust,Favorable
9938,45-54,22.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Favorable
9939,25-34,4.0,Mid-Level Developer,Weekly,Bad,Neither trust nor distrust,Favorable
9940,45-54,32.0,Veteran/Executive,Monthly,Bad,Somewhat distrust,Indifferent
9941,35-44,6.0,Mid-Level Developer,Weekly,Very poor,Somewhat distrust,Indifferent
9942,25-34,10.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
